A & M Febcon Ltd.,Miscellaneous,0.95,Company with Zero Promoter Pledge,Low Piotroski Score : Companies with weak financials,Positive Breakout First Resistance ( LTP > R1) ,0.87,0.95,0.85,2.36
A F Enterprises Ltd.,Finance - Investment,5.55,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of shareholder funds - ROE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,5.21,5.7,4.3,23.25
A and M Jumbo Bags Ltd.,Containers & Packaging,NaN,Company with Zero Promoter Pledge,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,NaN,NaN,NaN,NaN
A G Universal Ltd.,Trading,NaN,Annual Net Profits improving for last 2 years,Companies with High Debt,Highest Recovery from 52 Week Low ,0.0,0.0,32.5,119.95
A K Spintex Ltd.,Textiles & Apparel,138.0,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Stock with Low PE (PE < = 10) ,131.05,138.45,72.25,162.0
A2Z Infra Engineering  Ltd.,Infrastructure,13.81,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,13.55,13.75,5.1,15.15
A B Infrabuild Ltd.,Cement,NaN,Strong Annual EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,0.0,0.0,11.85,59.85
A K S Credits Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AAA Technologies Ltd.,Software,97.65,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,98.5,100.0,41.85,108.0
A.K.Capital Services Ltd.,Finance - Investment,780.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,Inefficient use of assets to generate profits - ROA declining in the last 2 years,Stock with Low PE (PE < = 10) ,775.05,805.0,399.0,894.8
AA Plus Tradelink Ltd.,NaN,8.0,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,8.0,8.0,4.1,20.44
A-1 Acid  Ltd.,Trading,366.0,MACD Crossover Above Signal Line,Degrowth in Revenue and Profit,No Opportunity for this stock,360.1,371.0,294.8,439.95
A P T Yarns Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Aagam Capital Ltd.,Finance - Leasing & Hire Purchase,46.5,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,40.55,46.5,30.45,192.0
Aarnav Fashions Ltd.,Finance - Investment,36.42,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,36.06,37.61,25.25,44.9
Aadi Industries Ltd.,Speciality Chemicals,8.4,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),Highest Recovery from 52 Week Low ,8.4,8.5,3.01,8.9
Acewin Agriteck Ltd.,other agriculture products,2.98,Company with Low Debt,Near 52 Week Low,No Opportunity for this stock,2.9,3.05,2.81,20.18
Ace Tours Worldwide Ltd.,Miscellaneous,2.08,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,2.08,2.08,1.9,4.04
Automobile Corp of Goa (ACGL) Ltd.,Auto Ancillaries - Bus Body,NaN,Strong Annual EPS Growth,Decline in Quarterly Net Profit (YoY),Highest Recovery from 52 Week Low ,1441.2,1484.0,661.2,1655.0
Abhishek Corporation Ltd.,Textiles & Apparel,0.57,Rising Net Cash Flow and Cash from Operating activity,Book Value Per Share deteriorating for last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,0.57,0.57,0.49,1.54
Abhishek Finlease Ltd.,Finance - NBFC,29.91,Company with Low Debt,Major fall in TTM Net Profit,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,29.91,29.91,20.4,33.5
Abhishek Infraventures Ltd.,Finance - Stock Broking,6.65,"Strong Momentum: Price above short, medium and long term moving averages",Declining profits every quarter for the past 2 quarters,Highest Recovery from 52 Week Low ,6.65,6.65,3.35,7.8
Ace Stonecraft Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Acknit Industries Ltd.,Textiles & Apparel,288.0,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,267.1,288.95,133.0,328.0
Aditya Consumer Marketing Ltd.,Food & Drug Retailing,68.0,Strong Annual EPS Growth,No weakness for this stock,No Opportunity for this stock,68.0,68.79,44.5,92.9
Addi Industries Ltd.,Textiles & Apparel,51.76,"Strong Momentum: Price above short, medium and long term moving averages","Rising other income, and low operating income",Highest Recovery from 52 Week Low ,50.04,53.0,25.16,61.86
Aditya Electro Communications Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Add-Shop Promotions Ltd.,Household & Personal Products,30.49,Company with Low Debt,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,29.84,30.75,28.1,55.05
Add-Life Pharma Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Adcon Capital Services RE Ltd.,Finance - Investment,0.14,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.12,0.16,0.12,10.0
Adeshwar Meditex Ltd.,Medical Equipment/Supplies/Accessories,33.49,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Positive Breakout First Resistance ( LTP > R1) ,33.49,33.49,16.2,36.0
Adcon Capital Services PP Ltd.,Finance - Investment,1.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,0.97,1.01,0.81,1.18
ADF Foods Industries Ltd.,Consumer Food,202.8,Company with No Debt,Inefficient use of shareholder funds - ROE declining in the last 2 years,No Opportunity for this stock,200.85,205.95,133.46,261.95
Advance Multitech Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Aditya Birla Fashion & Retail Ltd.,Retailing,226.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,MFs decreased their shareholding last quarter,Brokers upgraded recommendation or target price in the past three months ,223.95,226.4,184.4,265.5
Burroughs Wellcome (India) Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
Ahasolar Technologies Ltd.,Software,330.75,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,No weakness for this stock,Positive Breakout Second Resistance  ( LTP > R2) ,315.0,330.75,157.0,473.0
Advance Metering Technology Ltd.,Engineering - Industrial Equipments,48.76,Strong Annual EPS Growth,Negative Breakdown Third Support (LTP < S3),Turnaround companies- loss to profit QoQ ,48.76,48.76,16.11,64.62
Agro Phos India Ltd.,Fertilizers,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,Turnaround companies- loss to profit QoQ ,47.35,49.45,29.9,52.5
Aikyam Intellectual Property Consultancy Ltd.,Packaging,7.1,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,7.1,7.1,7.1,46.95
Ajanta Tubes Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
AIK Pipes And Polymers  Ltd.,Miscellaneous,136.53,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,No weakness for this stock,No Opportunity for this stock,135.1,141.85,89.0,152.2
Ajooni Biotech RE Ltd.,Diversified,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,NaN,NaN,NaN,NaN
