1,A & M Febcon Ltd.,Miscellaneous,0.95,Company with Zero Promoter Pledge,Low Piotroski Score : Companies with weak financials,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,0.87,0.95,0.85,2.36
2,A F Enterprises Ltd.,Finance - Investment,5.55,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of shareholder funds - ROE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,5.21,5.7,4.3,23.25
3,A and M Jumbo Bags Ltd.,Containers & Packaging,NaN,Company with Zero Promoter Pledge,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,NaN,NaN,NaN,NaN
4,A G Universal Ltd.,Trading,NaN,Annual Net Profits improving for last 2 years,Companies with High Debt,Highest Recovery from 52 Week Low ,No Threat for this stock,0.0,0.0,32.5,119.95
5,A K Spintex Ltd.,Textiles & Apparel,138.0,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Stock with Low PE (PE < = 10) ,No Threat for this stock,131.05,138.45,72.25,162.0
6,A2Z Infra Engineering  Ltd.,Infrastructure,13.81,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,13.55,13.75,5.1,15.15
7,A B Infrabuild Ltd.,Cement,NaN,Strong Annual EPS Growth,Declining Net Cash Flow : Companies not able to generate net cash,Highest Recovery from 52 Week Low ,No Threat for this stock,0.0,0.0,11.85,59.85
8,A K S Credits Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,NaN,NaN,NaN,NaN
9,AAA Technologies Ltd.,Software,97.65,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,98.5,100.0,41.85,108.0
10,A.K.Capital Services Ltd.,Finance - Investment,780.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,Inefficient use of assets to generate profits - ROA declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,775.05,805.0,399.0,894.8
11,AA Plus Tradelink Ltd.,NaN,8.0,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,8.0,8.0,4.1,20.44
12,A-1 Acid  Ltd.,Trading,366.0,MACD Crossover Above Signal Line,Degrowth in Revenue and Profit,No Opportunity for this stock,No Threat for this stock,360.1,371.0,294.8,439.95
13,A P T Yarns Ltd.,NaN,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,NaN,NaN,NaN,NaN
14,Aagam Capital Ltd.,Finance - Leasing & Hire Purchase,46.5,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,40.55,46.5,30.45,192.0
15,Aarnav Fashions Ltd.,Finance - Investment,36.42,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,36.06,37.61,25.25,44.9
16,Aadi Industries Ltd.,Speciality Chemicals,8.4,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),Highest Recovery from 52 Week Low ,No Threat for this stock,8.4,8.5,3.01,8.9
17,Acewin Agriteck Ltd.,other agriculture products,2.98,Company with Low Debt,Near 52 Week Low,No Opportunity for this stock,No Threat for this stock,2.9,3.05,2.81,20.18
18,Ace Tours Worldwide Ltd.,Miscellaneous,2.08,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.08,2.08,1.9,4.04
19,Automobile Corp of Goa (ACGL) Ltd.,Auto Ancillaries - Bus Body,NaN,Strong Annual EPS Growth,Decline in Quarterly Net Profit (YoY),Highest Recovery from 52 Week Low ,No Threat for this stock,1441.2,1484.0,661.2,1655.0
20,Abhishek Corporation Ltd.,Textiles & Apparel,0.57,Rising Net Cash Flow and Cash from Operating activity,Book Value Per Share deteriorating for last 2 years,Positive Breakout Third Resistance ( LTP > R3) ,Increasing Trend in Non-Core Income,0.57,0.57,0.49,1.54
