1,A,Agilent Technologies Inc. Common Stock,$132.03,0.01,0.008%,1877997,38690032515.0,United States,1999.0,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a
2,AA,Alcoa Corporation Common Stock ,$26.52,-1.23,-4.432%,5330348,4761904415.0,United States,2016.0,Aluminum,Industrials,/market-activity/stocks/aa
3,AACG,ATA Creativity Global American Depositary Shares,$1.22,-0.12,-8.955%,8166,38579047.0,China,2008.0,Other Consumer Services,Real Estate,/market-activity/stocks/aacg
4,AACI,Armada Acquisition Corp. I Common Stock,$10.99,0.0,0.00%,74,0.0,United States,2021.0,Blank Checks,Finance,/market-activity/stocks/aaci
5,AACIW,Armada Acquisition Corp. I Warrant,$0.03,0.0,0.00%,1,0.0,United States,2021.0,Blank Checks,Finance,/market-activity/stocks/aaciw
6,AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$10.55,0.0,0.00%,3297,0.0,NaN,2023.0,Blank Checks,Finance,/market-activity/stocks/aact
7,AADI,Aadi Bioscience Inc. Common Stock,$1.90,0.01,0.529%,245345,46599134.0,United States,NaN,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aadi
8,AAGR,African Agriculture Holdings Inc. Common Stock,$0.763,-0.037,-4.625%,200168,19194219.0,United States,2021.0,Finance: Consumer Services,Finance,/market-activity/stocks/aagr
9,AAGRW,African Agriculture Holdings Inc. Warrant,$0.015,-0.0001,-0.662%,32875,377344.0,United States,2021.0,Finance: Consumer Services,Finance,/market-activity/stocks/aagrw
10,AAL,American Airlines Group Inc. Common Stock,$15.13,-0.11,-0.722%,22902785,9906470626.0,United States,NaN,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal
11,AAMC,Altisource Asset Management Corp Com,$4.19,0.09,2.195%,7344,11581721.0,United States,NaN,Real Estate,Finance,/market-activity/stocks/aamc
12,AAME,Atlantic American Corporation Common Stock,$2.70,0.0,0.00%,12675,55086178.0,United States,NaN,Life Insurance,Finance,/market-activity/stocks/aame
13,AAN,Aarons Holdings Company Inc. Common Stock ,$10.54,0.35,3.435%,236846,319670685.0,United States,2020.0,Diversified Commercial Services,Miscellaneous,/market-activity/stocks/aan
14,AAOI,Applied Optoelectronics Inc. Common Stock,$14.15,-6.2,-30.467%,19657486,502842579.0,United States,2013.0,Semiconductors,Technology,/market-activity/stocks/aaoi
15,AAON,AAON Inc. Common Stock,$84.05,1.4,1.694%,226631,6828630231.0,United States,NaN,Industrial Machinery/Components,Industrials,/market-activity/stocks/aaon
16,AAP,Advance Auto Parts Inc.,$61.10,0.41,0.676%,1679790,3635571589.0,United States,NaN,Auto & Home Supply Stores,Consumer Discretionary,/market-activity/stocks/aap
17,AAPL,Apple Inc. Common Stock,$182.52,-1.85,-1.003%,45068288,2818452120120.0,United States,1980.0,Computer Manufacturing,Technology,/market-activity/stocks/aapl
18,AAT,American Assets Trust Inc. Common Stock,$21.53,-0.1,-0.462%,269509,1311086273.0,United States,2011.0,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aat
19,AAU,Almaden Minerals Ltd. Common Shares,$0.1351,0.0,0.00%,126695,18538612.0,Canada,2015.0,NaN,NaN,/market-activity/stocks/aau
20,AB,AllianceBernstein Holding L.P.  Units,$33.95,0.37,1.102%,570963,3881710289.0,United States,NaN,Investment Managers,Finance,/market-activity/stocks/ab
21,ABAT,American Battery Technology Company Common Stock,$2.18,-0.09,-3.965%,589215,113109150.0,United States,NaN,Metal Mining,Basic Materials,/market-activity/stocks/abat
22,ABBV,AbbVie Inc. Common Stock,$178.09,1.34,0.758%,3941782,314591240504.0,United States,2012.0,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abbv
23,ABCB,Ameris Bancorp Common Stock,$45.88,-0.04,-0.087%,347916,3168108559.0,United States,1994.0,Major Banks,Finance,/market-activity/stocks/abcb
24,ABCL,AbCellera Biologics Inc. Common Shares,$4.87,0.02,0.412%,2678830,1409163072.0,Canada,2020.0,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abcl
25,ABEO,Abeona Therapeutics Inc. Common Stock,$6.98,0.28,4.179%,242891,172917753.0,United States,NaN,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abeo
26,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.56,-0.03,-1.158%,10462413,40320555139.0,Brazil,2013.0,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/abev
